P/T,Building/Site Name,Total Number of Occupants
QC,Fontaine Building,811
QC,Place Vincent Massey (PVM),1624
QC,Place Vincent Massey Annex (PVMA),433
QC,de Varennes,51
ON,335 River Rd.,234
ON,National Wildlife Research Center (NWRC),127
ON,Constitution Square,29
ON,LaSalle Academy,120
ON,Sir Leonard Tilley Building,78
NB,Potato Research Centre,2
NB,University of New Brunswick - Loring Bailey Hall,6
NB,Frederick Square,21
NB,33 Weldon St.,6
NB,Environmental Science Centre (ESC),48
NB,Canadian Forces Base (CFB) Gagetown Joint Meteorological Centre,38
NB,Sackville - CWS Regional Office,45
NL,Cartwright,4
NL,Fortis Towers,9
NL,Gander International Airport,21
NL,Happy Valley - Goose Bay,4
NL,Happy Valley / Goose Bay - Upper Air Station,2
NL,Government of Canada Building,51
NL,Stephenville Upper Air Station,2
NS,Bedford Trade Mart,4
NS,Queen Square,292
NS,Bedford Institute Oceanography (BIO),9
NS,Canadian Forces Base (CFB) Greenwood,1
NS,Halifax - 1801 Hollis St.,1
NS,DND-MetOc Halifax,11
NS,Dayton Mall,1
PE,Jean Canfield Building,2
QC,Canadian Forces Base (CFB) Bagotville,1
QC,Cap Tourmente National Wildlife Area,12
QC,Canadian Meteorological Centre (CMC),395
QC,Harrington Harbor,2
QC,OURANOS,1
QC,Place Bonaventure,245
QC,105 McGill - Dominique Ducharme Building,334
QC,Biosphère,22
QC,Estimauville,168
ON,Canada Centre for Inland Waters (CCIW),713
ON,Sir Lionel Chevrier Building,5
ON,Centre for Atmospheric Research Experiments (CARE),18
ON,King City - Radar Station,11
ON,North Bay,18
ON,St. Clair National Wildlife Area,2
ON,Big Creek National Wildlife,8
ON,Environment Canada Building,13
ON,Downsview - Thompson Lab Annex,32
ON,Downsview - Environment Canada Building,786
ON,Canadian Forces Base (CFB) Trenton,4
ON,Wilfrid Laurier University,1
ON,Government of Canada Building,1
AB,Springfield Building,6
AB,Harry Hays Building,53
AB,Northern Forestry Centre,26
AB,Eastgate Building,271
AB,Biological Sciences Building,6
AB,Michael J. Greenwood Centre,20
AB,Meanook National Wildlife Area,5
AB,Peace River,1
AB,Stony Plain - Upper Air Station,15
BC,Saanichton EMBC,1
BC,Cranbrook - Water Survey,5
BC,Cranbrook - Enforcement,2
BC,Pacific Wildlife Research Centre (PWRC),83
BC,Kelowna National Service Office,13
BC,Nanaimo - Water Survey,9
BC,Nanaimo - Enforcement,2
BC,Nanaimo (CWS),7
BC,Pacific Environmental Science Centre (PESC),62
BC,Port Hardy Upper Air Station,2
BC,Prince George,18
BC,Monitoring Operations Center (MOC),38
BC,Institute of Ocean Sciences (IOS),4
BC,Smithers - Enforcement,6
BC,Terrace - Water Survey,5
BC,Douglas Jung Building,355
BC,Vernon Water Survey Office,7
BC,Canadian Forces Base (CFB) Esquimalt,8
BC,UVIC - Cdn Center for Climate Modelling - Bob Wright Center,32
BC,UVIC - Water Climate Inpact Research Center - David Turpin Bldg,10
MB,Churchill Upper Air Station,3
MB,The Pas Upper Air Station,3
MB,Thompson,3
MB,VIA Rail Station,148
MB,Canadian Forces Base (CFB) Winnipeg,15
MB,Airport Place,1
NT,Fort Simpson - Water Survey Office,2
NT,Fort Smith Upper Air Station,3
NT,Inuvik Upper Air Station,4
NT,Inuvik - Water Survey Building,3
NT,Norman Wells Upper Air Station,3
NT,Nova Plaza,64
NU,Neil Trivet Global Atmospheric Watch (GAW) Lab,2
NU,Alert Weather Station (Upper Air Station),2
NU,Baker Lake Upper Air Station,2
NU,Cambridge Bay Upper Air Station,5
NU,Coral Harbour Upper Air Station,4
NU,Eureka,8
NU,Iqaluit Upper Air Station,3
NU,Qilaut Building,16
NU,Iqaluit,2
NU,Canadian Arctic Marine Wildlife Research Centre,4
NU,Resolute Bay Upper Air Station,3
SK,Alvin Hamilton Building,53
SK,Prairie and Northern Wildlife Research Centre (PNWRC),56
SK,National Hydrology Research Centre (NHRC),139
SK,Last Mountain Lake National Wildlife Area,10
YT,Combined Services Bldg,25
YT,Yukon Weather Centre,19
